iter	RMSE
0	1.358440311
1	1.304922127
2	1.257227461
3	1.210769452
4	1.167157463
5	1.126792553
6	1.087911203
7	1.051986857
8	1.019015042
9	0.9890915188
10	0.9593421412
11	0.9320546722
12	0.9063612658
13	0.8822451465
14	0.859819228
15	0.8394856582
16	0.8204097258
17	0.8024282454
18	0.7862495553
19	0.7703278573
20	0.7563107005
21	0.7430553828
22	0.7297147901
23	0.7175316307
24	0.7069652356
25	0.6964408562
26	0.6872047283
27	0.6776163286
28	0.6691500756
29	0.6614680855
30	0.6547890455
31	0.647095411
32	0.6407555223
33	0.6352756923
34	0.6299162285
35	0.6247793921
36	0.6198695515
37	0.61563416
38	0.6117430398
39	0.6073884746
40	0.6039196482
41	0.6004085361
42	0.5967703606
43	0.593459867
44	0.5904474777
45	0.5877680973
46	0.5851240126
47	0.5823876983
48	0.5799887224
49	0.5778662854
50	0.5756013419
51	0.5735519432
52	0.5718988503
53	0.569551895
54	0.5677763853
55	0.5666315571
56	0.5647939136
57	0.5631839055
58	0.5614602158
59	0.5591175952
60	0.5577186646
61	0.5566671327
62	0.5552623233
63	0.5537568913
64	0.5526442311
65	0.551600983
66	0.5497425829
67	0.54902572
68	0.5479560321
69	0.5467939417
70	0.5456183798
71	0.544622619
72	0.5432283109
73	0.5423730505
74	0.5414716898
75	0.5405225109
76	0.5397590177
77	0.5391223515
78	0.5381119324
79	0.5374214662
80	0.5366617404
81	0.5353773664
82	0.5347561753
83	0.5339807134
84	0.53308323
85	0.5322231858
86	0.5313393908
87	0.5306953382
88	0.5300933667
89	0.529309514
90	0.5284930286
91	0.5278073635
92	0.527136167
93	0.5262457993
94	0.5256861823
95	0.5245829379
96	0.5239716535
97	0.5229328988
98	0.5221062741
99	0.5215687131
100	0.5210195748
101	0.5205480923
102	0.519774624
103	0.5191428614
104	0.5185592885
105	0.5177142046
106	0.517005183
107	0.5163930967
108	0.5156665715
109	0.5150180042
110	0.5146089077
111	0.5139879981
112	0.5132868611
113	0.5128770457
114	0.5123886425
115	0.5117161988
116	0.5111534756
117	0.5106890288
118	0.5093763373
119	0.5087642829
120	0.5083444658
121	0.5077353124
122	0.5073844972
123	0.506576415
124	0.505900432
125	0.5054938675
126	0.5049634867
127	0.5043724139
128	0.5040331222
129	0.5031657682
130	0.5027800291
131	0.5023761524
132	0.5019472544
133	0.5013159744
134	0.5005803614
135	0.5000876643
136	0.4995912412
137	0.4990357349
138	0.4980934454
139	0.4976795851
140	0.4971423143
141	0.4964943933
142	0.4960509217
143	0.4955513745
144	0.4949924488
145	0.4943199514
146	0.49392953
147	0.4936894544
148	0.4931723803
149	0.4927249193
150	0.4921462207
151	0.4916084638
152	0.4909826457
153	0.4905711839
154	0.4900269238
155	0.4894911441
156	0.4889473485
157	0.4883950775
158	0.4878898067
159	0.4875293882
160	0.487001547
161	0.4864551239
162	0.4862320494
163	0.4858313288
164	0.4855290395
165	0.4851892383
166	0.4846897652
167	0.4842126216
168	0.483863862
169	0.483527539
170	0.4829390262
171	0.4825829142
172	0.4818880146
173	0.4813721171
174	0.4808356796
175	0.4802569444
176	0.4799226027
177	0.4793106729
178	0.4789754766
179	0.4785895932
180	0.4781412648
181	0.4775832782
182	0.4770715461
183	0.4764493833
184	0.4760164772
185	0.4754745166
186	0.4746925522
187	0.4741893149
188	0.4739326805
189	0.4735441645
190	0.4729878324
191	0.4726351455
192	0.4721551205
193	0.4718585003
194	0.4713523504
195	0.471003215
196	0.4703782685
197	0.4697613358
198	0.4691276745
199	0.4687282496
200	0.4684577872
201	0.46773592
202	0.4670780438
203	0.4667907056
204	0.4659640835
205	0.4655453885
206	0.4650134514
207	0.4645878951
208	0.4641373914
209	0.4635635971
210	0.4632852635
211	0.4628474688
212	0.4625314888
213	0.4621438082
214	0.4617914965
215	0.461388078
216	0.4607224327
217	0.4602392698
218	0.4597560823
219	0.4592539143
220	0.4589892163
221	0.4587168198
222	0.4583546742
223	0.4578073694
224	0.4573924732
225	0.4568892309
226	0.4566083761
227	0.4560298021
228	0.4555360957
229	0.4552034566
230	0.4548662291
231	0.4546209338
232	0.4541794385
233	0.4538094888
234	0.4533971224
235	0.4529823581
236	0.4525965208
237	0.4521301355
238	0.4517577434
239	0.4512780004
240	0.4510419697
241	0.4505403387
242	0.4502695444
243	0.4499221176
244	0.449502602
245	0.4490558259
246	0.4487916882
247	0.4485255485
248	0.4480804133
249	0.4477132695
250	0.4471087396
251	0.4467572995
252	0.4463448705
253	0.4459973299
254	0.4454719067
255	0.4449642388
256	0.4443941976
257	0.4440715387
258	0.4435796743
259	0.4431798438
260	0.4429073921
261	0.4424392915
262	0.4419984708
263	0.44165375
264	0.441302655
265	0.4409512414
266	0.4406158982
267	0.44020552
268	0.4396281481
269	0.439208901
270	0.4389791563
271	0.4386394336
272	0.4381748773
273	0.4379414582
274	0.4374487134
275	0.4371134621
276	0.43667152
277	0.4363072643
278	0.4359499389
279	0.4354305623
280	0.4352399782
281	0.4348673669
282	0.4346854532
283	0.4343216097
284	0.4339348063
285	0.4336281246
286	0.4333321148
287	0.4329477551
288	0.4327214191
289	0.4322534666
290	0.4318822422
291	0.4313963839
292	0.4311730371
293	0.4307048781
294	0.4305087096
295	0.4301102743
296	0.4298310157
297	0.4292785838
298	0.4288896805
299	0.4285186558
300	0.4282996584
301	0.4281280015
302	0.4278039596
303	0.4275342754
304	0.4273112886
305	0.4271334742
306	0.4269868994
307	0.4265249077
308	0.426050538
309	0.4257089812
310	0.4253311868
311	0.4250019215
312	0.4248578605
313	0.4246004452
314	0.4241463547
315	0.4238331789
316	0.4234539226
317	0.4233312891
318	0.4230686722
319	0.4227704119
320	0.4224889516
